"Desire_children","Number of children","Percent"
"Have another soon","0",66
"Have another soon","1",30
"Have another soon","2",18
"Have another soon","3",10
"Have another soon","4",8
"Have another soon","5",6
"Have another soon","6+",8
"Have another later","0",22
"Have another later","1",58
"Have another later","2",43
"Have another later","3",23
"Have another later","4",14
"Have another later","5",12
"Have another later","6+",8
"Want no more","0",2
"Want no more","1",6
"Want no more","2",30
"Want no more","3",56
"Want no more","4",66
"Want no more","5",70
"Want no more","6+",69
